Kelime,Türkçe Anlamý,V1 (Yalýn Hali),V2 (Geçmiþ Zaman),V3 (Sýfat Fiil)
loud,yüksek sesli,-,-,-
loudly,yüksek sesle,-,-,-
"love,""aþk, sevmek"",love,loved,loved"
"lovely,""güzel, hoþ"",-,-,-"
"low,""düþük, alçak"",-,-,-"
"lower,""indirmek, alçaltmak"",lower,lowered,lowered"
luck,þans,-,-,-
lucky,þanslý,-,-,-
lunch,öðle yemeði,-,-,-
lung,akciðer,-,-,-
luxury,lüks,-,-,-
machine,makine,-,-,-
"mad,""çýlgýn, deli"",-,-,-"
magazine,dergi,-,-,-
magic,sihir,-,-,-
"mail,""posta, postalamak"",mail,mailed,mailed"
"main,""ana, baþlýca"",-,-,-"
mainly,çoðunlukla,-,-,-
"maintain,""sürdürmek, bakýmýný yapmak"",maintain,maintained,maintained"
"major,""büyük, önemli"",-,-,-"
majority,çoðunluk,-,-,-
make,yapmak,make,made,made
male,erkek,-,-,-
mall,alýþveriþ merkezi,-,-,-
man,adam,-,-,-
"manage,""yönetmek, baþarmak"",manage,managed,managed"
management,yönetim,-,-,-
"manager,""müdür, yönetici"",-,-,-"
"manner,""tavýr, biçim"",-,-,-"
many,çok (sayýlabilir),-,-,-
map,harita,map,mapped,mapped
March,Mart,-,-,-
"mark,""iþaret, iþaretlemek"",mark,marked,marked"
"market,""pazar, piyasa"",market,marketed,marketed"
marketing,pazarlama,-,-,-
marriage,evlilik,-,-,-
married,evli,-,-,-
marry,evlenmek,marry,married,married
"mass,""kütle, kitle"",-,-,-"
massive,çok büyük,-,-,-
"master,""usta, ustalaþmak"",master,mastered,mastered"
"match,""maç, eþleþmek"",match,matched,matched"
"matching,""uyumlu, eþleþen"",-,-,-"
material,malzeme,-,-,-
mathematics,matematik,-,-,-
maths,matematik,-,-,-
"matter,""mesele, önemli olmak"",matter,mattered,mattered"
maximum,maksimum,-,-,-
May,Mayýs,-,-,-
may,-ebilir (izin/olasýlýk),-,-,-
maybe,belki,-,-,-
"me,""beni, bana"",-,-,-"
meal,yemek (öðün),-,-,-
mean,anlamýna gelmek,mean,meant,meant
meaning,anlam,-,-,-
"means,""araç, yol"",-,-,-"
meanwhile,bu arada,-,-,-
"measure,""ölçmek, önlem"",measure,measured,measured"
measurement,ölçüm,-,-,-
meat,et,-,-,-
media,medya,-,-,-
medical,týbbi,-,-,-
"medicine,""ilaç, týp"",-,-,-"
"medium,""orta, ortam"",-,-,-"
"meet,""buluþmak, tanýþmak"",meet,met,met"
meeting,toplantý,-,-,-
melt,erimek,melt,melted,melted
member,üye,-,-,-
"memory,""hafýza, aný"",-,-,-"
mental,zihinsel,-,-,-
mention,bahsetmek,mention,mentioned,mentioned
menu,menü,-,-,-
mess,daðýnýklýk,mess,messed,messed
message,mesaj,-,-,-
metal,metal,-,-,-
method,yöntem,-,-,-
metre,metre,-,-,-
middle,orta,-,-,-
midnight,gece yarýsý,-,-,-
might,-ebilir (olasýlýk),-,-,-
"mild,""hafif, ýlýman"",-,-,-"
mile,mil,-,-,-
military,askeri,-,-,-
milk,süt,-,-,-
million,milyon,-,-,-
"mind,""zihin, aldýrmak"",mind,minded,minded"
mine (belongs to me),benimki,-,-,-
mine (hole in ground),maden,-,-,-
mineral,mineral,-,-,-
minimum,minimum,-,-,-
minister,bakan,-,-,-
"minor,""küçük, önemsiz"",-,-,-"
minority,azýnlýk,-,-,-
minute1,dakika,-,-,-
mirror,ayna,-,-,-
"miss,""özlemek, kaçýrmak"",miss,missed,missed"
"missing,""kayýp, eksik"",-,-,-"
mission,görev,-,-,-
mistake,hata,mistake,mistook,mistaken
mix,karýþtýrmak,mix,mixed,mixed
mixed,karýþýk,-,-,-
mixture,karýþým,-,-,-
"mobile,""mobil, taþýnabilir"",-,-,-"
model,model,model,modelled,modelled
modern,modern,-,-,-
modify,deðiþtirmek,modify,modified,modified
moment,an,-,-,-
Monday,Pazartesi,-,-,-
money,para,-,-,-
"monitor,""monitör, izlemek"",monitor,monitored,monitored"
monkey,maymun,-,-,-
month,ay,-,-,-
mood,ruh hali,-,-,-
moon,ay (gökyüzü),-,-,-
moral,ahlaki,-,-,-
more,daha fazla,-,-,-
morning,sabah,-,-,-
"most,""en fazla, çoðu"",-,-,-"
mostly,çoðunlukla,-,-,-
mother,anne,-,-,-
motor,motor,-,-,-
motorcycle,motosiklet,-,-,-
"mount,""dað, monte etmek"",mount,mounted,mounted"
mountain,dað,-,-,-
mouse,fare,-,-,-
mouth,aðýz,-,-,-
"move,""hareket etmek, taþýnmak"",move,moved,moved"
movement,hareket,-,-,-
movie,film,-,-,-
much,çok (miktar),-,-,-
mud,çamur,-,-,-
multiple,çoklu,-,-,-
multiply,çarpmak,multiply,multiplied,multiplied
mum,anne,-,-,-
"murder,""cinayet, öldürmek"",murder,murdered,murdered"
muscle,kas,-,-,-
museum,müze,-,-,-
music,müzik,-,-,-
musical,müzikal,-,-,-
musician,müzisyen,-,-,-
"must,""-meli, zorunda"",-,-,-"
my,benim,-,-,-
myself,kendim,-,-,-
mysterious,gizemli,-,-,-
mystery,gizem,-,-,-
"nail,""týrnak, çivi"",-,-,-"
"name,""isim, adlandýrmak"",name,named,named"
narrative,anlatý,-,-,-
narrow,dar,narrow,narrowed,narrowed
nation,ulus,-,-,-
national,ulusal,-,-,-
"native,""yerli, ana (dil)"",-,-,-"
natural,doðal,-,-,-
naturally,doðal olarak,-,-,-
nature,doða,-,-,-
near,yakýn,-,-,-
nearly,neredeyse,-,-,-
neat,düzenli,-,-,-
necessarily,zorunlu olarak,-,-,-
necessary,gerekli,-,-,-
neck,boyun,-,-,-
"need,""ihtiyaç, ihtiyaç duymak"",need,needed,needed"
needle,iðne,-,-,-
negative,olumsuz,-,-,-
neighbour,komþu,-,-,-
neighbourhood,mahalle,-,-,-
neither,hiçbiri,-,-,-
nerve,sinir,-,-,-
nervous,gergin,-,-,-
"net,""að, net (kazanç)"",-,-,-"
network,að (baðlantý),-,-,-
never,asla,-,-,-
nevertheless,yine de,-,-,-
new,yeni,-,-,-
news,haber,-,-,-
newspaper,gazete,-,-,-
next,sonraki,-,-,-
next to,yanýnda,-,-,-
"nice,""güzel, hoþ"",-,-,-"
night,gece,-,-,-
nightmare,kabus,-,-,-
nine,dokuz,-,-,-
nineteen,on dokuz,-,-,-
ninety,doksan,-,-,-
no,hayýr,-,-,-
no one,hiç kimse,-,-,-
nobody,hiç kimse,-,-,-
noise,gürültü,-,-,-
noisy,gürültülü,-,-,-
none,hiçbiri,-,-,-
nor,ne de,-,-,-
normal,normal,-,-,-
normally,normalde,-,-,-
north,kuzey,-,-,-
northern,kuzey (sýfat),-,-,-
nose,burun,-,-,-
not,deðil,-,-,-
"note,""not, not almak"",note,noted,noted"
nothing,hiçbir þey,-,-,-
"notice,""fark etmek, uyarý"",notice,noticed,noticed"
"notion,""kavram, fikir"",-,-,-"
novel,roman,-,-,-
November,Kasým,-,-,-
now,þimdi,-,-,-
nowhere,hiçbir yer,-,-,-
nuclear,nükleer,-,-,-
"number,""sayý, numaralandýrmak"",number,numbered,numbered"
numerous,çok sayýda,-,-,-
nurse,hemþire,-,-,-
"nut,""kuruyemiþ, somun"",-,-,-"
o'clock,saat (tam),-,-,-
obey,itaat etmek,obey,obeyed,obeyed
"object,""nesne, itiraz etmek"",object,objected,objected"
"objective,""hedef, amaç"",-,-,-"
obligation,yükümlülük,-,-,-
observation,gözlem,-,-,-
observe,gözlemlemek,observe,observed,observed
obtain,elde etmek,obtain,obtained,obtained
"obvious,""açýk, bariz"",-,-,-"
obviously,açýkça,-,-,-
"occasion,""özel gün, olay"",-,-,-"
occasionally,ara sýra,-,-,-
occur,meydana gelmek,occur,occurred,occurred
ocean,okyanus,-,-,-
October,Ekim,-,-,-
"odd,""garip, tuhaf"",-,-,-"
"of,""-in, -nin (aitlik)"",-,-,-"
"off,""kapalý, uzakta"",-,-,-"
"offence,""suç, gücenme"",-,-,-"
offend,gücendirmek,offend,offended,offended
"offensive,""saldýrgan, rahatsýz edici"",-,-,-"
offer,teklif etmek,offer,offered,offered
office,ofis,-,-,-
"officer,""memur, subay"",-,-,-"
"official,""resmi, yetkili"",-,-,-"
often,sýk sýk,-,-,-
"oh,""ah, ay"",-,-,-"
"oil,""yað, petrol"",-,-,-"
OK,tamam,-,-,-
"old,""yaþlý, eski"",-,-,-"
old-fashioned,eski moda,-,-,-
on,üzerinde,-,-,-
once,bir kez,-,-,-
one,bir (sayý),-,-,-
onion,soðan,-,-,-
online,çevrimiçi,-,-,-
only,sadece,-,-,-
onto,üzerine,-,-,-
"open,""açýk, açmak"",open,opened,opened"
opening,açýlýþ,-,-,-
"operate,""çalýþtýrmak, ameliyat etmek"",operate,operated,operated"
"operation,""operasyon, ameliyat"",-,-,-"
"opinion,""görüþ, fikir"",-,-,-"
opponent,rakip,-,-,-
opportunity,fýrsat,-,-,-
oppose,karþý çýkmak,oppose,opposed,opposed
opposed,karþýt,-,-,-
"opposite,""karþý, zýt"",-,-,-"
opposition,muhalefet,-,-,-
option,seçenek,-,-,-
or,veya,-,-,-
"orange,""portakal, turuncu"",-,-,-"
"order,""sipariþ, emir, sýralamak"",order,ordered,ordered"
ordinary,sýradan,-,-,-
organ,organ,-,-,-
organization,organizasyon,-,-,-
"organize,""düzenlemek, organize etmek"",organize,organized,organized"
"organized,""düzenli, organize"",-,-,-"
organizer,organizatör,-,-,-
origin,köken,-,-,-
original,orijinal,-,-,-
originally,baþlangýçta,-,-,-
other,diðer,-,-,-
otherwise,aksi takdirde,-,-,-
ought,-meli (görev),-,-,-
our,bizim,-,-,-
ours,bizimki,-,-,-
ourselves,kendimiz,-,-,-
out,dýþarý,-,-,-
outcome,sonuç,-,-,-
outdoor,açýk hava (sýfat),-,-,-
outdoors,açýk havada,-,-,-
outer,dýþ,-,-,-
"outline,""taslak, ana hatlarýyla belirtmek"",outline,outlined,outlined"
"outside,""dýþarýda, dýþ"",-,-,-"
oven,fýrýn,-,-,-
"over,""üzerinde, bitmiþ"",-,-,-"
overall,genel olarak,-,-,-
owe,borçlu olmak,owe,owed,owed
"own,""sahip olmak, kendi"",own,owned,owned"
owner,sahip,-,-,-
"pace,""hýz, tempo"",pace,paced,paced"
"pack,""paket, paketlemek"",pack,packed,packed"
package,paket,package,packaged,packaged
page,sayfa,-,-,-
pain,aðrý,-,-,-
painful,acý verici,-,-,-
"paint,""boya, boyamak"",paint,painted,painted"
painter,ressam,-,-,-
"painting,""resim, tablo"",-,-,-"
pair,çift,-,-,-
palace,saray,-,-,-
pale,solgun,-,-,-
pan,tava,-,-,-
panel,panel,-,-,-
pants,pantolon,-,-,-
paper,kaðýt,-,-,-
paragraph,paragraf,-,-,-
parent,ebeveyn,-,-,-
"park,""park, park etmek"",park,parked,parked"
parking,park etme,-,-,-
parliament,parlamento,-,-,-
"part,""parça, bölüm"",-,-,-"
participant,katýlýmcý,-,-,-
participate,katýlmak,participate,participated,participated
"particular,""belirli, özel"",-,-,-"
particularly,özellikle,-,-,-
partly,kýsmen,-,-,-
"partner,""ortak, eþ"",-,-,-"
party,parti,-,-,-
pass,geçmek,pass,passed,passed
"passage,""geçit, pasaj"",-,-,-"
passenger,yolcu,-,-,-
passion,tutku,-,-,-
passport,pasaport,-,-,-
past,geçmiþ,-,-,-
"path,""yol, patika"",-,-,-"
"patient,""hasta, sabýrlý"",-,-,-"
"pattern,""desen, model"",-,-,-"
pay,ödemek,pay,paid,paid
payment,ödeme,-,-,-
peace,barýþ,-,-,-
peaceful,barýþçýl,-,-,-
pen,kalem,-,-,-
pencil,kurþun kalem,-,-,-
penny,peni,-,-,-
pension1,emekli maaþý,-,-,-
people,insanlar,-,-,-
pepper,biber,-,-,-
per,baþýna,-,-,-
per cent,yüzde,-,-,-
percentage,yüzde oraný,-,-,-
perfect,mükemmel,perfect,perfected,perfected
perfectly,mükemmel bir þekilde,-,-,-
"perform,""gerçekleþtirmek, performans sergilemek"",perform,performed,performed"
performance,performans,-,-,-
perhaps,belki,-,-,-
period,dönem,-,-,-
permanent,kalýcý,-,-,-
permission,izin,-,-,-
"permit,""izin vermek, izin belgesi"",permit,permitted,permitted"
person,kiþi,-,-,-
personal,kiþisel,-,-,-
personality,kiþilik,-,-,-
personally,kiþisel olarak,-,-,-
perspective,bakýþ açýsý,-,-,-
persuade,ikna etmek,persuade,persuaded,persuaded
pet,evcil hayvan,-,-,-
petrol,benzin,-,-,-
phase,aþama,-,-,-
phenomenon,olgu,-,-,-
philosophy,felsefe,-,-,-
"phone,""telefon, telefon etmek"",phone,phoned,phoned"
photo,fotoðraf,-,-,-
"photograph,""fotoðraf, fotoðraflamak"",photograph,photographed,photographed"
photographer,fotoðrafçý,-,-,-
photography,fotoðrafçýlýk,-,-,-
"phrase,""deyim, ifade"",-,-,-"
physical,fiziksel,-,-,-
physics,fizik,-,-,-
piano,piyano,-,-,-
"pick,""seçmek, toplamak"",pick,picked,picked"
"picture,""resim, fotoðraf"",picture,pictured,pictured"
piece,parça,-,-,-
pig,domuz,-,-,-
"pile,""yýðýn, yýðmak"",pile,piled,piled"
pilot,pilot,-,-,-
"pin,""toplu iðne, iðnelemek"",pin,pinned,pinned"
pink,pembe,-,-,-
pipe,boru,-,-,-
"pitch,""saha, ton"",-,-,-"
"place,""yer, yerleþtirmek"",place,placed,placed"
"plain,""sade, düz"",-,-,-"
"plan,""plan, planlamak"",plan,planned,planned"
plane,uçak,-,-,-
planet,gezegen,-,-,-
planning,planlama,-,-,-
"plant,""bitki, ekmek (dikmek)"",plant,planted,planted"
plastic,plastik,-,-,-
plate,tabak,-,-,-
"platform,""platform, peron"",-,-,-"
play,oynamak,play,played,played
player,oyuncu,-,-,-
pleasant,hoþ,-,-,-
"please,""lütfen, memnun etmek"",please,pleased,pleased"
pleased,memnun,-,-,-
"pleasure,""zevk, memnuniyet"",-,-,-"
"plenty,""bolluk, bol miktarda"",-,-,-"
"plot,""olay örgüsü, komplo kurmak"",plot,plotted,plotted"
plus1,artý,-,-,-
pocket,cep,-,-,-
poem,þiir,-,-,-
poet,þair,-,-,-
poetry,þiir sanatý,-,-,-
"point,""nokta, iþaret etmek"",point,pointed,pointed"
pointed,sivri,-,-,-
"poison,""zehir, zehirlemek"",poison,poisoned,poisoned"
poisonous,zehirli,-,-,-
police,polis,-,-,-
policeman,polis memuru,-,-,-
policy,politika,-,-,-
polite,kibar,-,-,-
political,siyasi,-,-,-
politician,politikacý,-,-,-
politics,siyaset,-,-,-
pollution,kirlilik,-,-,-
pool,havuz,-,-,-
"poor,""fakir, zavallý"",-,-,-"
pop,pop müzik,-,-,-
popular,popüler,-,-,-
popularity,popülerlik,-,-,-
population,nüfus,-,-,-
port,liman,-,-,-
portrait,portre,-,-,-
"pose,""poz vermek, oluþturmak (sorun)"",pose,posed,posed"
"position,""konum, pozisyon"",position,positioned,positioned"
positive,olumlu,-,-,-
possess,sahip olmak,possess,possessed,possessed
"possession,""sahiplik, mal"",-,-,-"
possibility,olasýlýk,-,-,-
possible,mümkün,-,-,-
"possibly,""belki, mümkün olduðunca"",-,-,-"
"post,""posta, göndermek"",post,posted,posted"
poster,poster,-,-,-
"pot,""tencere, saksý"",-,-,-"
potato,patates,-,-,-
potential,potansiyel,-,-,-
pound,pound (para/aðýrlýk),-,-,-
pour,dökmek,pour,poured,poured
poverty,yoksulluk,-,-,-
powder,toz,-,-,-
"power,""güç, iktidar"",power,powered,powered"
powerful,güçlü,-,-,-
practical,pratik,-,-,-
"practice,""pratik, uygulama"",-,-,-"
practise,pratik yapmak,practise,practised,practised
"praise,""övmek, övgü"",praise,praised,praised"
pray,dua etmek,pray,prayed,prayed
prayer,dua,-,-,-
predict,tahmin etmek,predict,predicted,predicted
prediction,tahmin,-,-,-
prefer,tercih etmek,prefer,preferred,preferred
pregnant,hamile,-,-,-
preparation,hazýrlýk,-,-,-
prepare,hazýrlamak,prepare,prepared,prepared
prepared,hazýr,-,-,-
"presence,""varlýk, huzur"",-,-,-"
"present,""hediye, mevcut, sunmak"",present,presented,presented"
presentation,sunum,-,-,-
preserve,korumak,preserve,preserved,preserved
president,baþkan,-,-,-
"press,""basýn, basmak"",press,pressed,pressed"
pressure,baský,-,-,-
pretend,numara yapmak,pretend,pretended,pretended
"pretty,""güzel, oldukça"",-,-,-"
prevent,önlemek,prevent,prevented,prevented
previous,önceki,-,-,-
previously,önceden,-,-,-
"price,""fiyat, fiyatlandýrmak"",price,priced,priced"
priest,rahip,-,-,-
"primary,""birincil, ilköðretim"",-,-,-"
"prime,""baþlýca, birinci"",-,-,-"
prince,prens,-,-,-
princess,prenses,-,-,-
principle,ilke,-,-,-
"print,""yazdýrmak, baský"",print,printed,printed"
printer,yazýcý,-,-,-
"printing,""baský, matbaacýlýk"",-,-,-"
priority,öncelik,-,-,-
prison,hapishane,-,-,-
prisoner,mahkum,-,-,-
privacy,mahremiyet,-,-,-
private,özel,-,-,-
prize,ödül,-,-,-
probably,muhtemelen,-,-,-
problem,sorun,-,-,-
"procedure,""prosedür, iþlem"",-,-,-"
"process,""süreç, iþlemek"",process,processed,processed"
produce,üretmek,produce,produced,produced
producer,yapýmcý,-,-,-
product,ürün,-,-,-
production,üretim,-,-,-
profession,meslek,-,-,-
professional,profesyonel,-,-,-
professor,profesör,-,-,-
profile,profil,-,-,-
profit,kar,-,-,-
"program,""program, programlamak"",program,programmed,programmed"
programme,program (TV/plan),-,-,-
"progress,""ilerleme, ilerlemek"",progress,progressed,progressed"
"project,""proje, projelendirmek"",project,projected,projected"
"promise,""söz vermek, söz"",promise,promised,promised"
"promote,""terfi ettirmek, tanýtmak"",promote,promoted,promoted"
pronounce,telaffuz etmek,pronounce,pronounced,pronounced
proof,kanýt,-,-,-
"proper,""uygun, düzgün"",-,-,-"
properly,düzgün bir þekilde,-,-,-
"property,""mülk, özellik"",-,-,-"
proposal,teklif,-,-,-
propose,teklif etmek,propose,proposed,proposed
"prospect,""olasýlýk, gelecek beklentisi"",-,-,-"
protect,korumak,protect,protected,protected
protection,koruma,-,-,-
"protest,""protesto, protesto etmek"",protest,protested,protested"
proud,gururlu,-,-,-
prove,kanýtlamak,prove,proved,proved/proven
provide,saðlamak,provide,provided,provided
psychologist,psikolog,-,-,-
psychology,psikoloji,-,-,-
"pub,""pub, bar"",-,-,-"
"public,""halk, kamu"",-,-,-"
publication,yayýn,-,-,-
publish,yayýnlamak,publish,published,published
pull,çekmek,pull,pulled,pulled
punish,cezalandýrmak,punish,punished,punished
punishment,ceza,-,-,-
pupil,öðrenci,-,-,-
"purchase,""satýn almak, satýn alma"",purchase,purchased,purchased"
pure,saf,-,-,-
purple,mor,-,-,-
purpose,amaç,-,-,-
"pursue,""sürdürmek, peþinden gitmek"",pursue,pursued,pursued"
push,itmek,push,pushed,pushed
put,koymak,put,put,put
"qualification,""nitelik, yeterlilik"",-,-,-"
qualified,nitelikli,-,-,-
"qualify,""hak kazanmak, nitelemek"",qualify,qualified,qualified"
quality,kalite,-,-,-
quantity,miktar,-,-,-
quarter,çeyrek,-,-,-
queen,kraliçe,-,-,-
"question,""soru, sorgulamak"",question,questioned,questioned"
"queue,""sýra, sýraya girmek"",queue,queued,queued"
quick,hýzlý,-,-,-
quickly,hýzlýca,-,-,-
quiet,sessiz,-,-,-
quietly,sessizce,-,-,-
"quit,""býrakmak, terk etmek"",quit,quit,quit"
quite,oldukça,-,-,-
quotation,alýntý,-,-,-
quote,alýntý yapmak,quote,quoted,quoted
"race (competition),""yarýþ, yarýþmak"",race,raced,raced"
race (people),ýrk,-,-,-
racing,yarýþ (spor),-,-,-
radio,radyo,-,-,-
railway,demiryolu,-,-,-
"rain,""yaðmur, yaðmak"",rain,rained,rained"
"raise,""kaldýrmak, artýrmak"",raise,raised,raised"
"range,""aralýk, çeþit"",range,ranged,ranged"
"rank,""rütbe, sýralamak"",rank,ranked,ranked"
rapid,hýzlý,-,-,-
rapidly,hýzlý bir þekilde,-,-,-
rare,nadir,-,-,-
rarely,nadiren,-,-,-
"rate,""oran, deðerlendirmek"",rate,rated,rated"
"rather,""oldukça, tercihen"",-,-,-"
"raw,""çið, ham"",-,-,-"
reach,ulaþmak,reach,reached,reached
react,tepki vermek,react,reacted,reacted
reaction,tepki,-,-,-
read,okumak,read,read,read
reader,okuyucu,-,-,-
reading,okuma,-,-,-
ready,hazýr,-,-,-
real,gerçek,-,-,-
realistic,gerçekçi,-,-,-
reality,gerçeklik,-,-,-
"realize,""fark etmek, gerçekleþtirmek"",realize,realized,realized"
really,gerçekten,-,-,-
"reason,""neden, sebep"",-,-,-"
reasonable,makul,-,-,-
recall,hatýrlamak,recall,recalled,recalled
"receipt,""fiþ, makbuz"",-,-,-"
receive,almak (teslim),receive,received,received
"recent,""son, yakýn zamanlý"",-,-,-"
recently,son zamanlarda,-,-,-
reception,resepsiyon,-,-,-
recipe,tarif (yemek),-,-,-
recognize,tanýmak,recognize,recognized,recognized
recommend,önermek,recommend,recommended,recommended
recommendation,tavsiye,-,-,-
"record,""kayýt, kaydetmek"",record,recorded,recorded"
recording,kayýt (ses/görüntü),-,-,-
"recover,""iyileþmek, geri almak"",recover,recovered,recovered"
recycle,geri dönüþtürmek,recycle,recycled,recycled
red,kýrmýzý,-,-,-
reduce,azaltmak,reduce,reduced,reduced
reduction,azalma,-,-,-
"refer,""atýfta bulunmak, baþvurmak"",refer,referred,referred"
reference,referans,-,-,-
reflect,yansýtmak,reflect,reflected,reflected
refuse1,reddetmek,refuse,refused,refused
"regard,""kabul etmek, saygý"",regard,regarded,regarded"
region,bölge,-,-,-
regional,bölgesel,-,-,-
"register,""kayýt olmak, kayýt"",register,registered,registered"
regret,piþman olmak,regret,regretted,regretted
regular,düzenli,-,-,-
regularly,düzenli olarak,-,-,-
"regulation,""düzenleme, yönetmelik"",-,-,-"
reject,reddetmek,reject,rejected,rejected
relate,iliþkilendirmek,relate,related,related
related,iliþkili,-,-,-
relation,iliþki,-,-,-
relationship,iliþki,-,-,-
"relative,""akraba, göreceli"",-,-,-"
relatively,nispeten,-,-,-
relax,rahatlamak,relax,relaxed,relaxed
relaxed,rahat,-,-,-
relaxing,rahatlatýcý,-,-,-
"release,""yayýnlamak, serbest býrakmak"",release,released,released"
"relevant,""ilgili, alakalý"",-,-,-"
reliable,güvenilir,-,-,-
relief,rahatlama,-,-,-
religion,din,-,-,-
religious,dini,-,-,-
rely,güvenmek,rely,relied,relied
remain,kalmak,remain,remained,remained
"remark,""yorum, dile getirmek"",remark,remarked,remarked"
remember,hatýrlamak,remember,remembered,remembered
remind,hatýrlatmak,remind,reminded,reminded
remote,uzak,-,-,-
"remove,""kaldýrmak, çýkarmak"",remove,removed,removed"
"rent,""kira, kiralamak"",rent,rented,rented"
repair,onarmak,repair,repaired,repaired
repeat,tekrarlamak,repeat,repeated,repeated
repeated,tekrarlanan,-,-,-
"replace,""deðiþtirmek, yerine koymak"",replace,replaced,replaced"
"reply,""yanýtlamak, yanýt"",reply,replied,replied"
"report,""rapor, rapor etmek"",report,reported,reported"
reporter,muhabir,-,-,-
represent,temsil etmek,represent,represented,represented
representative,temsilci,-,-,-
reputation,itibar,-,-,-
"request,""talep, talep etmek"",request,requested,requested"
require,gerektirmek,require,required,required
requirement,gereklilik,-,-,-
rescue,kurtarmak,rescue,rescued,rescued
"research,""araþtýrma, araþtýrmak"",research,researched,researched"
researcher,araþtýrmacý,-,-,-
reservation,rezervasyon,-,-,-
"reserve,""ayýrmak, rezerv"",reserve,reserved,reserved"
resident,sakin,-,-,-
resist,direnmek,resist,resisted,resisted
resolve,çözmek,resolve,resolved,resolved
"resort,""tatil beldesi, baþvurmak"",resort,resorted,resorted"
resource,kaynak,-,-,-
"respect,""saygý, saygý duymak"",respect,respected,respected"
respond,yanýt vermek,respond,responded,responded
response,yanýt,-,-,-
responsibility,sorumluluk,-,-,-
responsible,sorumlu,-,-,-
rest (remaining),geri kalan,-,-,-
rest (sleep/relax),dinlenmek,rest,rested,rested
restaurant,restoran,-,-,-
"result,""sonuç, sonuçlanmak"",result,resulted,resulted"
retain,elinde tutmak,retain,retained,retained
retire,emekli olmak,retire,retired,retired
retired,emekli,-,-,-
return,geri dönmek,return,returned,returned
reveal,ortaya çýkarmak,reveal,revealed,revealed
"review,""inceleme, incelemek"",review,reviewed,reviewed"
revise,gözden geçirmek,revise,revised,revised
revolution,devrim,-,-,-
"reward,""ödül, ödüllendirmek"",reward,rewarded,rewarded"
rhythm,ritim,-,-,-
rice,pirinç,-,-,-
rich,zengin,-,-,-
rid,kurtulmak,rid,rid,rid
ride,binmek (araç/hayvan),ride,rode,ridden
"right,""doðru, sað"",-,-,-"
ring1,yüzük,-,-,-
"ring2,""çalmak (zil), aramak"",ring,rang,rung"
rise,yükselmek,rise,rose,risen
"risk,""risk, riske atmak"",risk,risked,risked"
river,nehir,-,-,-
road,yol,-,-,-
robot,robot,-,-,-
rock (music),rock müzik,-,-,-
rock (stone),kaya,-,-,-
role,rol,-,-,-
"roll,""yuvarlanmak, rulo"",roll,rolled,rolled"
romantic,romantik,-,-,-
roof,çatý,-,-,-
room,oda,-,-,-
root,kök,-,-,-
rope,halat,-,-,-
"rough,""kaba, pürüzlü"",-,-,-"
round,yuvarlak,-,-,-
"route,""güzergah, rota"",-,-,-"
routine,rutin,-,-,-
row1,sýra,-,-,-
royal,kraliyet ile ilgili,-,-,-
"rub,""ovmak, sürtmek"",rub,rubbed,rubbed"
"rubber,""lastik, kauçuk"",-,-,-"
rubbish,çöp,-,-,-
rude,kaba (davranýþ),-,-,-
rugby,ragbi,-,-,-
"rule,""kural, yönetmek"",rule,ruled,ruled"
run,koþmak,run,ran,run
runner,koþucu,-,-,-
running,koþu,-,-,-
rural,kýrsal,-,-,-
"rush,""acele etmek, koþuþturma"",rush,rushed,rushed"
sad,üzgün,-,-,-
sadly,üzücü bir þekilde,-,-,-
safe,güvenli,-,-,-
safety,güvenlik,-,-,-
sail,yelken açmak,sail,sailed,sailed
sailing,yelkencilik,-,-,-
sailor,denizci,-,-,-
salad,salata,-,-,-
salary,maaþ,-,-,-
sale,satýþ,-,-,-
salt,tuz,-,-,-
same,ayný,-,-,-
"sample,""örnek, örneklemek"",sample,sampled,sampled"
sand,kum,-,-,-
sandwich,sandviç,-,-,-
satellite,uydu,-,-,-
satisfied,memnun,-,-,-
satisfy,tatmin etmek,satisfy,satisfied,satisfied
Saturday,Cumartesi,-,-,-
sauce,sos,-,-,-
"save,""kurtarmak, biriktirmek"",save,saved,saved"
saving,tasarruf,-,-,-
say,söylemek,say,said,said
"scale,""ölçek, terazi"",scale,scaled,scaled"
scan,taramak,scan,scanned,scanned
scared,korkmuþ,-,-,-
scary,korkutucu,-,-,-
scene,sahne,-,-,-
"schedule,""program, planlamak"",schedule,scheduled,scheduled"
"scheme,""plan, düzen"",-,-,-"
school,okul,-,-,-
science,bilim,-,-,-
scientific,bilimsel,-,-,-
scientist,bilim insaný,-,-,-
"score,""skor, gol atmak"",score,scored,scored"
scream,çýðlýk atmak,scream,screamed,screamed
screen,ekran,screen,screened,screened
script,senaryo,-,-,-
sculpture,heykel,-,-,-
sea,deniz,-,-,-
search,aramak,search,searched,searched
"season,""mevsim, sezon"",-,-,-"
"seat,""koltuk, oturtmak"",seat,seated,seated"
second1 (order),ikinci,-,-,-
second1 (time),saniye,-,-,-
"secondary,""ikincil, ortaokul"",-,-,-"
secondly,ikinci olarak,-,-,-
"secret,""sýr, gizli"",-,-,-"
secretary,sekreter,-,-,-
"section,""bölüm, kýsým"",-,-,-"
sector,sektör,-,-,-
"secure,""güvenli, güvence altýna almak"",secure,secured,secured"
security,güvenlik,-,-,-
see,görmek,see,saw,seen
seed,tohum,-,-,-
"seek,""aramak, çabalamak"",seek,sought,sought"
