Sýra;Fransýzca Kelime;Ýsveççe Anlamý;Türkçe Anlamý
804;clore;"stänga; avsluta";kapatmak, sona erdirmek
804;une clôture;"en stängning; en inhägnad";
804;clôturer;stänga;
805;la neige;snö;kar
805;neigeux;"snöig; snötäckt";
806;massif;massiv;masif, büyük
806;un massif;ett bergmassiv;
806;une masse;"en massa; en mängd";
806;massivement;i massor;
807;susceptible;"som går att; överkänslig";hassas, alýngan
808;étroit;"trång; smal; trångsynt";dar
808;étroitement;nära;
809;un goût;en smak;tat, zevk
809;goûter;"smaka (på); äta mellanmål";
809;un goûter;"ett mellanmål; ett barnkalas";
809;un dégoût;en avsmak;
809;dégoûtant;motbjudande;
809;dégoûter;äckla;
810;une prestation;"ett bidrag; ett utförande; en prestation";hizmet, katký
810;un, une prestataire;"en bidragstagare; en förmånstagare";
811;régner;regera;hüküm sürmek
811;un règne;"en regenttid; en regering";
812;une catastrophe;en katastrof;felaket
812;catastrophique;katastrofal;
812;catastropher;chocka;
813;dormir;sova;uyumak
813;endormir;"få att somna in; söva";
814;une bouche;en mun;aðýz
814;déboucher;korka upp, öppna upp;
814;un débouché;"en öppning, en möjlighet; en marknad";
814;boucher;korka igen;
814;un boucher;en slaktare;
814;un bouchon;"en kork; en trafikstockning";
815;une excuse;en ursäkt;özür
815;excuser;ursäkta;
816;triste;"ledsen; dyster";üzgün
816;une tristesse;"en leda; en sorg";
816;tristement;"sorgset; trist";
816;attrister;göra ledsen;
817;classique;klassisk;klasik
817;un classique;en klassiker;
818;une alliance;"ett förbund; en vigselring";"ittifak; alyans"
818;allié;allierad;
818;allier;"förena; alliera";
818;rallier;samla, ena;
818;un ralliement;"en anslutning; en samling";
819;une trace;ett spår;iz
819;tracer;"rita upp; skissera; spåra";
819;un tracé;"en ritning; en sträckning";
819;retracer;"skildra; återberätta; rita upp igen";
820;un logement;"en bostad; en inkvartering";konut
820;loger;"bo; hysa";
820;une loge;"en loge; ett portvaktsrum";
820;un logis;"en bostad; en logi";
820;déloger;vräka;
821;plaindre;(be)klaga;þikayet etmek
821;une plainte;"en klagan; ett klagomål";
821;un plaignant;en kärande;
822;chaud;varm;sýcak
822;le chaud;värme;
822;chauffer;värma;
822;réchauffer;värma upp;
822;une chaleur;en värme;
822;chaleureux;varm, hjärtlig;
822;chaleureusement;varmt, hjärtligt;
823;taire;förtiga;sessiz kalmak, saklamak
824;une émotion;"en känsla; en (sinnes)rörelse";duygu
824;émouvoir;"beröra; göra upprörd";
824;une émeute;ett uppror;
824;émouvant;rörande;
824;ému;rörd;
824;émotionnel;känslomässig;
824;émotif;lättrörd;
825;judiciaire;juridisk, rättslig;yargýsal, adli
825;judicieux;omdömesgill;
826;un secours;"en hjälp; en undsättning";yardým
826;secourir;"hjälpa; undsätta";
826;un secouriste;en förstahjälpenarbetare;
827;confronter;konfrontera;yüzleþtirmek
827;une confrontation;en konfrontation;
828;strict;"sträng; noggrann; strikt";katý, sýký
828;strictement;strängt;
829;un club;en klubb;kulüp
830;ouvrier;arbetar-;iþçi (sýfat)
830;un ouvrier;en arbetare;
831;un immeuble;"ett flerfamiljshus; en fastighet; en fast egendom";apartman
831;immobilier;"fast; fastighets-";
831;l'immobilier;"fast egendom; fastighetsmarknaden";
832;une passion;"en lidelse; en passion; Kristi lidande";tutku
832;passionner;hänföra;
832;la compassion;medlidande;
832;passionnant;fascinerande;
832;passionnément;lidelsefullt;
832;passionnel;passions-, kärleks-;
833;compliquer;"komplicera; försvåra";karmaþýklaþtýrmak
833;compliqué;komplicerad;
833;une complication;"en komplikation; en förveckling";
834;assumer;anta, acceptera;üstlenmek, kabullenmek
835;partiel;"del-; partiell";kýsmi
835;partiellement;delvis;
836;un argument;ett argument;argüman
836;une argumentation;en argumentation;
836;argumenter;argumentera, diskutera;
837;une planète;en planet;gezegen
837;planétaire;planet-;
838;un, une maire;en borgmästare;belediye baþkaný
838;une mairie;"ett stadshus; en kommunalförvaltning";
839;délicat;"delikat; kräsen; ömtålig";narin, hassas
839;une délicatesse;"en delikatess; en ömtålighet; en taktfullhet";
840;un attentat;ett attentat;suikast giriþimi
841;boire;dricka;içmek
841;une boisson;en dryck;
842;une caisse;"en kassa; en låda; en trumma";"kasa; sandýk"
842;encaisser;"inkassera; ta emot";
842;un caissier;en kassör(ska);
843;un hasard;en slump;tesadüf, þans
844;un héros;en hjälte;kahraman
844;l'héroïne;"hjältinna; heroin";
844;héroïque;hjältemodig;
844;l'héroïsme;hjältemod;
845;une oreille;"ett öra; en hörsel; ett gehör";kulak
845;un oreiller;en huvudkudde;
846;incident;"tillfällig; bi-";arýzi, geçici
846;un incident;ett tillbud, en incident;
846;une incidence;en inverkan, en effekt;
847;un café;"ett kaffe; ett kafé";"kahve; kafe"
848;un pont;"en bro; ett däck";köprü
849;foutre;"göra; ha för sig; knulla";yapmak (argo)
849;foutu;"vidrig; fördärvad";
850;apercevoir;"märka; urskilja";fark etmek
850;inaperçu;osedd;
850;un aperçu;"en översikt; en inblick";
851;refléter;"återspegla; reflektera";yansýtmak
851;un reflet;en reflex (om ljus);
852;bouger;"röra sig; flytta på sig";hareket etmek
853;une foule;en folkmassa;kalabalýk
853;une foulée;"ett spår; ett steg";
853;fouler;"trampa; stuka";
854;chrétien;kristen;hristiyan
855;un talent;en talang;yetenek
855;talentueux;talangfull;
856;isoler;"avskilja; isolera";izole etmek
856;isolé;isolerad;
856;un isolement;en avskildhet;
857;une norme;"en regel; en norm";norm, kural
858;animer;"liva upp; animera; leda";canlandýrmak
858;un animateur;"en eldsjäl; en underhållare; en programledare; en tecknare";
858;une animation;"en livlighet; en ledning; en animering";
858;ranimer;"liva upp; återuppliva";
859;la statistique;statistik;istatistik
859;statistique;statistisk;
860;une piste;"ett spår; en pist";pist, iz
860;un dépistage;"en upptäckt; en testning; en screening";
861;préserver;bevara;korumak, muhafaza etmek
861;une préservation;ett bevarande;
862;un hommage;en hyllning;saygý, övgü
863;inférieur;"lägre; underordnad";aþaðý, alt
864;un match;en match;maç
865;une tragédie;en tragedi;trajedi
865;tragique;tragisk;
866;un scandale;en skandal;skandal
866;scandaleux;"skamlig; skandalös";
866;scandaliser;väcka anstöt hos;
867;un billet;"en biljett; en sedel";bilet
868;un choc;"en chock; en stöt";þok, darbe
868;choquer;"chockera; stöta";
868;choquant;"chockerande; stötande";
869;une proportion;ett förhållande, en proportion;oran
869;proportionnel;proportionell;
870;un canal;en kanal;kanal
870;canaliser;kanalisera;
871;briser;"krossa; göra sönder";kýrmak, parçalamak
872;reculer;"gå baklänges; backa";geri çekilmek
872;un recul;"en tillbakagång; en rekyl; ett avstånd";
873;un critère;"ett kännetecken; ett kriterium";kriter, ölçüt
874;brûler;"elda upp; bränna (upp); brinna; köra mot";yakmak
874;une brûlure;en brännskada;
874;brûlant;"brinnande; brännhet";
875;une manœuvre;"en manöver; en intrig";manevra
875;manœuvrer;"manövrera; manipulera";
876;quelconque;"vilken som helst; alldaglig";herhangi, sýradan
877;le courrier;"post; postgång";posta
878;élaborer;utarbeta;hazýrlamak, geliþtirmek
878;une élaboration;ett utarbetande;
879;un doigt;"ett finger; en tå";parmak
880;illustrer;illustrera;göstermek, örneklemek
880;une illustration;en illustration;
880;illustre;berömd;
881;une poche;"en ficka; en påse";cep
881;empocher;"tjäna; inkassera";
882;affronter;"möta; trotsa";yüzleþmek, karþý koymak
882;un affrontement;en konfrontation;
882;un affront;en förolämpning;
883;éclater;"sprängas; spricka";patlamak, çatlamak
883;un éclat;utbrott;
883;éclatant;"en skärva; en skandal";
883;un éclatement;"en knall; en punktering";
884;une honte;en skam;utanç
884;honteux;skamlig;
885;mêler;blanda (ihop);karýþtýrmak
885;un mélange;en blandning;
885;mélanger;blanda;
886;un bonheur;en lycka;mutluluk
887;crier;"skrika; ropa";baðýrmak
887;un cri;"ett skrik; ett rop";
887;s'écrier;skrika till, utropa;
887;criant;skrikande;
888;un bâtiment;en byggnad;bina
888;bâtir;bygga;
889;un époux;en make;koca, eþ
889;épouser;gifta sig med;
890;une firme;en firma, ett företag;firma, þirket
891;plonger;"dyka; doppa ner";dalmak
891;une plongée;en dykning;
891;replonger;"dyka igen; doppa ner igen";
891;un plongeur;"en dykare; en diskare";
892;un véhicule;ett fordon;araç, taþýt
892;véhiculer;"transportera; bära";
893;fuir;"fly (undan); läcka";"kaçmak; sýzdýrmak"
893;s'enfuir;rymma;
893;une fuite;"en flykt; en läcka";
894;varier;skifta;deðiþmek, farklýlýk göstermek
894;variable;"skiftande; som kan böjas";
894;une variable;en variabel;
894;une variété;"en mångfald; en varietet";
894;une variation;"en förändring; en variation";
894;une variante;en variant;
894;invariablement;oföränderligt;
895;inventer;uppfinna;icat etmek
895;une invention;en uppfinning;
895;un inventeur;en uppfinnare;
895;réinventer;återupptäcka;
896;un stade;"en (ett) stadion; ett stadium";stadyum
897;contester;"ifrågasätta; bestrida; tvista";itiraz etmek, tartýþmak
897;une contestation;"ett ifrågasättande; ett bestridande; en tvist";
897;incontestable;obestridlig;
897;incontestablement;obestridligen;
897;contestable;diskutabel;
898;un congrès;en kongress;kongre
899;multiplier;"multiplicera; mångfaldiga";çoðaltmak
899;multiple;mångfaldig;
899;un multiple;en multipel;
899;une multiplication;"en multiplikation; ett mångfaldigande";
899;une multiplicité;en mångfald;
900;la joie;glädje;sevinç
900;joyeux;glad;
900;joyeusement;glatt;
901;une faim;en hunger;açlýk
901;une famine;en svält;
901;affamé;utsvulten;
901;affamer;svälta ut;
902;un cerveau;en hjärna;beyin
902;la cervelle;"hjärnsubstans; hjärna (på djur)";
903;un truc;en grej;hile, numara
903;truquer;fiffla med;
904;scolaire;skol-;okula ait
904;une scolarité;en skolgång;
905;diffuser;"sprida (ut); sända";yaymak (radyo/tv)
905;une diffusion;"en spridning; en sändning";
905;une radiodiffusion;en radiosändning;
905;diffus;"spridd; diffus";
905;un diffuseur;"en spridare; en doftspridare";
906;inclure;inkludera;eklemek, dahil etmek
906;inclus;inkluderad;
906;une inclusion;en inkludering;
907;un style;en stil;stil, tarz
908;combler;fylla igen;doldurmak, gidermek
908;comble;"överfull; rågad";
908;un comble;"en höjdpunkt; en råge; en takstol; ett vindsutrymme";
909;une ombre;en skugga;gölge
909;ombrer;"en skugga; ett mörker";
910;annuler;"annullera; ställa in";iptal etmek
910;une annulation;"en annullering; ett inställande";
911;bloquer;blockera;engellemek, bloke etmek
911;un bloc;"ett block; en kloss";
911;un blocage;en blockering;
911;débloquer;"lossa; släppa fri; släppa blockad mot";
912;un climat;ett klimat;iklim
912;climatique;klimat-;
913;un séjour;en vistelse;kalýþ, konaklama
913;séjourner;vistas;
914;guider;guida, vägleda;yönlendirmek, rehberlik etmek
914;un guide;en guide;
915;un sport;en sport;spor
915;sportif;"sport-, idrotts-; sportig";
915;un sportif;en idrottsman;
916;une douleur;"en smärta; en sorg";acý, aðrý
916;douloureux;smärtsam;
917;une issue;"en utgång; en utväg";"çýkýþ; çare"
917;issu de;som härstammar från;
918;généreux;generös;cömert
918;une générosité;en generositet;
918;généreusement;generöst;
919;suprême;"högst; ytterlig";yüce, en üst
919;une suprématie;"en överhöghet; en överlägsenhet";
920;éventuel;"eventuell; möjlig";olasý, muhtemel
920;éventuellement;"eventuellt; möjligen";
920;une éventualité;"en eventualitet; en möjlighet";
921;blesser;"skada; såra";yaralamak
921;blessé;"skadad; sårad";
921;une blessure;"en skada; ett sår";
922;reporter;"föra tillbaka; skjuta upp";ertelemek
922;un reporter;en reporter;
922;un report;"ett uppskjutande; en överföring";
923;un partisan;"en anhängare; en partisan";taraftar
923;partisan;som är anhängare av;
924;un impact;"en kollision; en påverkan";etki, çarpýþma
925;un magazine;"en tidskrift; en veckotidning";dergi
926;une collaboration;"ett samarbete; en kollaboration";iþbirliði
926;un collaborateur;"en medarbetare; kollaboratör";
926;collaborer;"samarbeta; kollaborera";
927;procurer;"skaffa; förorsaka";temin etmek, saðlamak
927;un procureur;"en åklagare; ett ombud";
928;un infirmier;en sjuksköterska;hemþire (erkek)
928;infirmier;sjuksköterske-;
929;censé;"som är tänkt att; som anses";sanýlan, öyle kabul edilen
930;innocent;"oskyldig; naiv; harmlös";masum
930;une innocence;"en oskuld; en naivitet; en harmlöshet";
931;fameux;"berömd; beryktad; ypperlig";ünlü
932;cultiver;odla;yetiþtirmek, ekmek
932;cultivé;"odlad; kultiverad";
933;doux;"mjuk; mild; söt";yumuþak, tatlý
933;doucement;"mjukt; varligt; sakta";
933;une douceur;"en mjukhet; en mildhet; en sötma";
933;adoucir;"mjuka upp; mildra; avhärda";
934;jouir;njuta;keyif almak
934;une jouissance;en njutning;
934;réjouir;glädja;
935;parcourir;"gå (åka, cykla, etc.) igenom; genomfara; skumma igenom";gezmek, katetmek
935;un parcours;"en rutt; en bana";
936;électrique;elektrisk;elektrikli
936;électronique;elektronisk;
936;l'électronique;elektronik;
936;l'électricité;elektricitet;
936;un électron;en elektron;
936;radioélectrique;radio-;
936;électromagnétique;elektromagnetisk;
937;un seuil;en tröskel;eþik
937;audiovisuel;audiovisuell;
937;un auditoire;"en lyssnarskara; en publik";
937;un audit;"en revision; en revisor";
938;une audience;"en åhörare (även läsare, tittare); en session; en audiens";"dinleyici kitlesi; oturum"
938;une audition;"ett lyssnande; hörsel; en audition; ett förhör";
938;un auditeur;en lyssnare;
939;une minorité;"en minoritet; en omyndighet";azýnlýk
939;minoritaire;minoritets-;
939;un, une minoritaire;en medlem av en minoritet;
940;une phrase;"en mening; en fras";cümle
941;provisoire;provisorisk;geçici
941;un provisoire;"en provisorisk åtgärd; ett provisorium";
941;provisoirement;provisoriskt;
942;dynamique;dynamisk;dinamik
942;la dynamique;dynamik;
942;le dynamisme;dynamism;
942;dynamiser;stimulera;
943;renverser;"vända på; välta omkull; spilla ut";devirmek
943;un renversement;"en omvändning; en omkastning; en stjälpning";
943;renversé;"upp och ner; omkullkastad; utspilld";
944;trouble;"grumlig; suddig";bulanýk
944;un trouble;"en oro; ett besvär";
944;troubler;"grumla; oroa";
944;troublant;oroande;
944;troublé;"oroad; besvärad";
945;désoler;"bedröva; ödelägga";üzmek, harap etmek
945;une désolation;"en bedrövelse; en ödeläggelse";
946;accélérer;"accelerera; skynda på";hýzlandýrmak
946;une accélération;"en acceleration; en påskyndning";
946;accélérateur;accelererande;
946;un accélérateur;"en accelerator; en gaspedal";
947;la littérature;litteratur;edebiyat
947;littéraire;"litterär-; litteratur-";
947;un, une littéraire;en person med litteratur som intresse;
947;littéralement;"bokstavligen; ordagrant";
947;littéral;"bokstavlig; ordagrann";
948;résider;"vistas; bestå";ikamet etmek, dayanmak
948;une résidence;"en bostad(sort); ett residens";
948;un résident;"en boende; en invånare";
948;résidentiel;"bostads-; villa-";
949;un adolescent;"en tonåring; en ungdom";genç, ergen
949;l'adolescence;"tonåren; ungdom";
950;dessiner;"rita; teckna";çizmek, desen çizmek
950;un dessin;"en ritning; en teckning; ritkonst";
950;un dessinateur;"en ritare; en tecknare";
951;une aventure;"ett äventyr; en kärleksaffär";macera
951;aventurer;äventyra;
951;un aventurier;en äventyrare;
952;une prime;"en premie; en bonus";prim, ikramiye
952;primer;"gå före; vinna över";
953;emmener;"föra bort; ta med sig";götürmek
954;alimentaire;mat-, livsmedels-;gýdaya ait
954;alimenter;"mata; utfodra";
954;un aliment;"en föda; ett födoämne";
954;l'alimentation;"kost; föda; matning";
955;un marin;"en sjöman; en matros";denizci
955;marin;"havs-; sjö(mans)-";
955;maritime;maritim, sjöfarts-;
955;la marine;flottan;
955;marine;marin (om färg);
956;intermédiaire;"mellan-; mellanliggande";ara, aracý
956;un, une intermédiaire;"en mellanhand; en förmedlare";
957;un vœu;"en önskan; ett löfte";dilek, arzu
957;vouer;"lova; svära; ägna; helga";
958;dresser;"resa; ställa iordning; räta ut";dikmek, kurmak
958;redresser;"räta upp (ut); reda upp";
958;un redressement;"ett uträtande; en uppstramning; en återhämtning";
959;afficher;"anslå; affischera; öppet visa";asmak, ilan etmek
959;une affiche;en affisch, ett anslag;
959;un affichage;"en affischering; ett anslående";
960;fragile;ömtålig;kýrýlgan
960;une fragilité;en ömtålighet;
960;fragiliser;göra ömtålig;
961;survenir;(plötsligt) inträffa;aniden ortaya çýkmak
962;un arbre;ett träd;aðaç
963;sauter;"hoppa (över); sprängas";"atlamak; patlamak"
963;un saut;"ett hopp; ett språng; ett vattenfall";
964;une chasse;en jakt(mark);av
964;chasser;jaga;
964;un chasseur;"en jägare; ett jaktplan";
964;pourchasser;förfölja;
965;un collège;"ung. ett högstadium (11-15 år); ett kollegium";ortaokul
966;un morceau;"en bit; ett stycke";parça
966;mordre;bita(s);
967;une discipline;"en vetenskapsgren; en god ordning; en disciplin";disiplin, bilim dalý
967;discipliner;"tukta; disciplinera";
968;une explosion;en explosion;patlama
968;exploser;explodera;
968;explosif;explosiv;
969;une peau;"en hud; ett skinn; ett skal";deri, cilt
970;une orientation;"en orientering; en inriktning";yönelim
970;orienter;"orientera; vägleda";
971;un paragraphe;"ett stycke; en paragraf";paragraf
972;radical;"radikal; grundlig";radikal
972;un radical;"en radikal; en språklig rot (stam); ett rottecken";
972;radicalement;"radikalt; grundligt";
973;tolérer;tolerera, fördra;hoþgörmek, katlanmak
973;une tolérance;en tolerans, en fördragsamhet;
973;intolérable;"oacceptabel; outhärdlig";
973;tolérant;tolerant, fördragsam;
973;une intolérance;en intolerans, en ofördragsamhet;
974;une copie;"en kopia; en skrivning";kopya
974;copier;kopiera;
975;rédiger;"redigera; skriva";kaleme almak, yazmak
975;une rédaction;"en redigering; en uppsats; en redaktion";
975;un rédacteur;en redaktör;
976;magnifique;magnifik;muhteþem
977;une promotion;"en reklamkampanj; en befordran; ett specialerbjudande";promosyon, terfi
977;promouvoir;"lansera; befordra";
977;un promoteur;"en upphovsman; promotor; en byggherre";
977;une promo;ett specialerbjudande;
978;une branche;en gren;dal, þube
978;brancher;koppla in;
978;débrancher;koppla ur;
979;une section;"en avdelning; en sektion; en avklippning";bölüm, kesim
980;pair;jämn;çift (sayý)
980;un pair;en jämlike;
980;une paire;ett par;
980;impair;"ojämn; udda";
981;contraindre;tvinga;zorlamak
981;une contrainte;"ett tvång; en begränsning";
981;contraint;tvungen;
981;contraignant;"tvingande; begränsande";
982;trancher;"skära (av); avgöra";kesmek, karar vermek
982;une tranche;"en skiva; ett snitt; en grupp";
982;tranchant;"vass; skarp";
982;un tranchant;en egg;
982;retrancher;skära av, dra av;
983;punir;straffa;cezalandýrmak
983;une punition;ett straff;
983;une impunité;en straffrihet;
983;impunément;ostraffat;
984;une cellule;"en cell; en enhet";hücre
985;déclencher;"utlösa; sätta igång";tetiklemek
985;un déclenchement;"ett utlösande; ett igångsättande";
986;une connexion;"en anslutning; ett samband";baðlantý
986;connecter;koppla (samman);
986;une déconnexion;en urkoppling;
986;connexe;liknande;
986;déconnecter;"koppla ur; ta loss";
986;une interconnexion;en sammankoppling;
987;une option;"ett val; en valmöjlighet; en option";seçenek
987;opter;välja;
988;le pétrole;(rå)olja;petrol
988;pétrolier;olje-;
989;un laboratoire;ett laboratorium;laboratuvar
990;coucher;"lägga; bädda ner; ligga";yatýrmak, yatmak
990;un coucher;"ett sänggående; en (sol)nedgång";
990;une couche;"ett lager; en blöja; en bädd";
991;un département;"en avdelning; ett departement";bölüm, departman
991;départemental;departements-;
992;un génie;"en begåvning; ett geni; en ande";dâhi
992;génial;genialisk, toppen;
993;une rumeur;"ett rykte; ett sorl";söylenti
994;une solitude;ensamhet;yalnýzlýk
994;solitaire;"ensam(-); enslig; solitär-";
994;un, une solitaire;en ensling;
995;drôle;"rolig; underlig";komik, tuhaf
995;drôlement;"roligt; underligt; mycket";
996;plat;"platt, flat; fadd; banal";"düz, yassý; sýkýcý"
996;un plat;"ett fat; en maträtt";
996;un plateau;"en bricka; en platå";
996;aplatir;platta till;
997;une maman;en mamma;anne (argo)
998;une dignité;en värdighet;onur, haysiyet
998;digne;värdig;
998;une indignation;en förtrytelse, en indignation;
998;indigner;förtryta, indignera;
998;indigne;vanhedrande;
998;dignement;värdigt;
999;légitime;"legitim; laglig";meþru
999;une légitimité;"en legitimitet; en laglighet";
999;légitimer;"legitimera; förklara laglig";
999;légitimement;"legitimt; lagligt";
999;illégitime;"olaglig; illegitim; utom äktenskapet";
1000;une philosophie;en filosofi;felsefe
1000;philosophe;filosof-;
1000;un, une philosophe;en filosof;
1000;philosophique;filosofisk;
1000;philosopher;filosofera;
1001;un verre;ett glas;
1002;spécifique;"utmärkande; specifik";
1002;spécifier;specificera;
1002;une spécification;"en specificering; en specifikation";
1002;spécifiquement;specifikt;
1003;un docteur;en doktor;
1003;un doctorat;en doktorsexamen;
1004;un trou;"ett hål; en håla";
1004;trouer;göra hål på;
1005;mental;mental, psykisk;
1005;une mentalité;"en mentalitet; en attityd";
1005;mentalement;mentalt;
1006;casser;"förstöra; slå sönder; upphäva";
1006;une cassation;ett upphävande;
1006;cassé;sönder, trasig;
1006;une casse;"en sönderslagning; en bilskrot";
1007;conformément;i enlighet med;
1007;conforme;överensstämmande;
1007;conformer;anpassa;
1007;une conformité;en överensstämmelse;
1007;le conformisme;likriktning, konformism;
1008;croiser;"korsa; kryssa";
1008;une croix;ett kors;
1008;croisé;korsad, kors-;
1008;un croisé;en korsfarare;
1008;une croisière;en kryssning;
1008;un croisement;"en korsning; en vägkorsning; ett möte";
1009;plastique;"plast-; formbar; plastik-";
1009;le plastique;plast;
1010;autonome;"autonom; självstyrande";
1010;une autonomie;"en autonomi; ett självstyre";
1011;un héritage;ett arv(egods);
1011;hériter;ärva;
1011;un héritier;"en arvinge; en arvtagare";
1011;une héritabilité;en ärftlighet, en hereditet;
1012;parallèle;parallell;
1012;un parallèle;en parallell;
1012;parallèlement;parallellt;
1013;répartir;"fördela; sprida; dela in";
1013;une répartition;"en fördelning; en spridning";
1014;réveiller;väcka;
1014;éveiller;"väcka; stimulera";
1014;un réveil;"ett uppvaknande; en väckning; en väckarklocka";
1014;un éveil;"ett uppvaknande; en vakenhet";
1015;un satellite;en satellit;
1015;satellitaire;satellit-;
1016;municipal;kommunal, kommun-;
1016;une municipalité;"en kommun; en kommunstyrelse";
1017;songer;"drömma; tänka";
1017;un songe;"en dröm; en inbillning";
1018;merveilleux;underbar;
1018;une merveille;ett underverk, ett under;
1018;émerveiller;väcka beundran hos;
1018;merveilleusement;underbart;
1019;inciter;"sporra; egga";
1019;une incitation;en sporre, ett incitament;
1019;incitatif;stimulans-;
1020;urbain;"stads-; belevad, urban";
1021;un musée;ett museum;
1022;une pluie;ett regn;
1022;pleuvoir;regna;
1023;une précaution;en försiktighet(såtgärd);
1024;anticiper;förutse;
1024;une anticipation;"ett föregripande; en föraning";
1025;un cheval;en häst;
1025;un chevalier;en riddare;
1025;un chevauchement;en överlappning;
1025;chevaucher;"överlappa; grensla";
1025;chevauchant;överlappande;
1026;un suicide;självmord;
1026;suicider;begå självmord;
1026;suicidaire;självmords-;
1027;une rivière;"en flod; en å";
1027;une rive;en strand;
1027;un rivage;"en strand; en kust";
1027;riverain;"strand-; gatu-";
1027;un riverain;en person som är bosatt längs en strand eller en gata;
1028;avertir;"varna; underrätta";
1028;un avertissement;"en varning; en underrättelse";
1029;enceinte;gravid;
1029;une enceinte;"en inhägnad; en ringmur";
1030;une substance;en substans;
1030;substantiel;substantiell;
1031;un récit;en berättelse;
1031;réciter;läsa upp, recitera;
1032;une revendication;ett krav, ett anspråk;
1032;revendiquer;kräva, göra anspråk på;
1033;un sondage;"en undersökning; en lodning; en sondering";
1033;sonder;"undersöka; loda; sondera";
1033;une sonde;"ett lod; en sond";
1034;débarrasser;"röja av; befria";
1035;musulman;muslimsk;
1035;un musulman;en muslim;
1036;légal;"laglig; rätts-";
1036;illégal;olaglig, illegal;
1036;une légalité;en laglighet, en legalitet;
1036;légalement;lagligt, legalt;
1036;illégalement;"olagligt; illegalt";
1036;légaliser;göra lagligt, legalisera;
1037;pleurer;"gråta; sörja";
1037;les pleurs;gråt;
1038;l'immigration;invandring, immigration;
1038;un immigrant;en invandrare, en immigrant;
1038;immigrer;invandra, immigrera;
1038;une migration;"folkvandring; migration";
1038;un migrant;"invandrare; utvandrare; migrant";
1038;migratoire;migrations-;
1038;émigrer;utvandra, emigrera;
1038;une émigration;utvandring, emigration;
1038;migrateur;flytt-;
1039;un cancer;en cancer;
1039;cancéreux;cancer-;
1040;lâcher;släppa (lös);
1040;un lâcher;ett lössläppande;
1040;relâcher;"lossa på; frige";
1040;une relâche;ett uppehåll;
1040;une lâcheté;en feghet;
1040;un relâchement;"ett slaknande; en avslappning";
1041;un cercle;en cirkel;
1041;encercler;omringa;
1042;génétiquement;genetisk;
1042;la génétique;genetik;
1042;un gène;en gen;
1042;génétiquement;genetiskt;
1042;un généticien;en genetiker;
1043;une importation;en import;
1043;importateur;import-;
1043;un importateur;en importör;
1044;une tonne;ett ton;
1044;un tonneau;"en tunna; ett fat";
1044;un tonnage;ett tonnage;
1045;un dieu;en gud;
1046;un référendum;en folkomröstning;
1046;référendaire;folkomröstnings-;
1047;rond;rund;
1047;un arrondissement;ett område (indelning av vissa städer och departement), ett arrondissement;
1047;un rond;"en ring; en cirkel";
1047;arrondir;runda, göra rund;
1048;un étage;en våning;
1049;intense;intensiv;
1049;une intensité;intensitet;
1049;intensif;intensiv;
1049;intensifier;"intensifiera; öka";
1049;une intensification;"en intensifiering; en ökning";
1050;un bébé;en baby;
1051;un drame;ett drama;
1051;dramatique;dramatisk;
1051;une dramatique;ett TV-drama;
1052;une haine;ett hat;
1052;haïr;hata;
1053;une instance;"en myndighet; en instans";
1054;une cérémonie;en ceremoni;
1055;une ambition;"en ärelystnad; en ambition";
1055;ambitieux;ambitiös;
1056;une sanction;sanktion;
1056;sanctionner;sanktionera;
1057;géant;jätte-;
1057;un géant;en jätte;
1058;un jardin;en trädgård;
1058;un jardinier;en trädgårdsmästare;
1059;engendrer;"avla; generera";
1060;mobile;"mobil; lös";
1060;un mobile;"ett rörligt föremål; en mobil; ett motiv";
1060;mobiliser;mobilisera;
1060;une mobilisation;en mobilisering;
1060;immobile;orörlig;
1060;une mobilité;en rörlighet;
1060;immobiliser;göra orörlig;
1060;mobilier;"lös-; lösöre-";
1060;le mobilier;"bohag; lösöre; möbler";
1060;une immobilité;en orörlighet;
1061;une cotisation;"ett bidrag; en medlemsavgift";
1061;cotiser;"bidra till; betala medlemsavgift";
1061;un cotisant;en (betalande) medlem;
1062;un cheveu;ett hårstrå;
1063;ralentir;sakta ner;
1063;un ralentissement;en insaktning;
1063;le ralenti;tomgång;
1064;un cadeau;en present, en gåva;
1065;requérir;begära;
1065;une requête;en begäran;
1065;une quête;"en insamling; en strävan; ett sökande";
1065;requis;erfoderlig;
1065;un requérant;en sökande;
1065;un réquisitoire;"en anklagelseakt; en slutplädering";
1065;une réquisition;"en begäran; en rekvisition";
1066;louer;"hyra; berömma";
1067;un gars;"en kille; en snubbe";
1068;une fleur;en blomma;
1068;fleurir;blomma;
1069;un, une poète;en diktare, en poet;
1069;la poésie;poesi;
1069;un poème;"en dikt; ett poem";
1069;poétique;"dikt-; poetisk";
1070;le vin;ett vin;
1071;soudain;plötslig;
1071;soudain;plötsligt;
1071;soudainement;plötsligt;
1072;une balle;"en (mindre) boll; en kula";
1072;un ballon;"en (fot)boll; en ballong";
1073;une inflation;en inflation;
1073;inflationniste;inflations-;
1074;sec;torr;
1074;une sécheresse;en torka;
1074;sécher;torka;
1074;sèchement;torrt;
1074;dessécher;torka ut;
1075;une transition;en övergång;
1075;un transit;en övergång;
1075;transitoire;övergående, tillfällig;
1075;transiter;passera;
1076;répandre;sprida;
1077;adorer;"dyrka; tycka mycket om";
1077;adorable;"förtjusande; bedårande";
